region,annee,type,nb_etab,nb_ecrans,nb_fauteuils,nb_seances,nb_entrees,recette,rme,indice_freq,tmof
AUVERGNE-RHONE-ALPES,2004,AE,154,289,50579,242524.0,7401742.0,37849977.0,5.113657974028276,1.0060499663528304,18.369238687143813
BOURGOGNE-FRANCHE-COMTE,2004,AE,47,119,21415,110576.0,3029542.0,16288660.0,5.3766080813535515,1.0899746389677711,15.034968783083173
BRETAGNE,2004,AE,82,131,28452,90134.0,3685667.0,18740138.0,5.084598798534974,1.191024884522193,19.975292568817878
CENTRE-VAL DE LOIRE,2004,AE,29,53,10044,46221.0,1299654.0,6087221.0,4.683724283540081,0.5158243460086595,15.571799535669095
CORSE,2004,AE,5,11,2456,5817.0,198111.0,1234284.0,6.230264851522631,0.6735765917080899,16.95089134833816
GRAND EST,2004,AE,58,150,26987,154762.0,3981747.0,21564901.0,5.415939536088054,0.7252677896342047,14.867985408583412
HAUTS-DE-FRANCE,2004,AE,49,124,21921,126553.0,3202986.0,16520984.0,5.157994446432173,0.541685530472777,14.983494693911078
ILE-DE-FRANCE,2004,AE,155,302,56978,364875.1110527589,10846757.423749851,56803331.488489345,5.236895163167738,0.9405465735530331,17.48627199215467
NORMANDIE,2004,AE,51,118,25865,111069.0,3132889.0,15732049.0,5.021578804739012,0.9587009554911978,13.899716800428266
NOUVELLE AQUITAINE,2004,AE,142,227,47601,162330.0,4967717.0,23635632.0,4.757845907888876,0.8910989249699677,15.269105811679582
OCCITANIE,2004,AE,119,194,35759,138539.0,4106421.0,19114329.0,4.6547416838166376,0.7731966275061825,17.172247458247302
PAYS DE LA LOIRE,2004,AE,67,110,23694,80927.0,2609709.0,13097083.0,5.018599008548462,0.7563652625590197,17.03825187629372
PROVENCE-ALPES-COTE D'AZUR,2004,AE,68,137,21002,147020.0,4128167.0,21167756.0,5.127640427337363,0.8573142477870225,18.65126367139249
AUVERGNE-RHONE-ALPES,2005,AE,152,286,46447,244457.0,6271868.0,31926232.0,5.09038646859277,0.8524766994539114,16.5763051372959
BOURGOGNE-FRANCHE-COMTE,2005,AE,50,134,23069,130670.0,2743679.0,14870957.0,5.420079025279561,0.9871262809587902,12.219173306497886
BRETAGNE,2005,AE,85,132,26610,86507.0,2934088.0,14708277.0,5.012895659571219,0.9481518057323008,18.133471573731086
CENTRE-VAL DE LOIRE,2005,AE,34,64,11018,55284.0,1340462.0,6345203.0,4.733594089202081,0.5320207797609668,14.25426393222328
CORSE,2005,AE,5,11,2294,5973.0,148616.0,904645.0,6.0871305915917535,0.5052937936474476,14.096765870908015
GRAND EST,2005,AE,55,153,27607,156700.0,3503897.0,18871440.0,5.385843248246167,0.6382283033793761,12.800358800512674
HAUTS-DE-FRANCE,2005,AE,45,115,19752,121147.0,2742225.0,14261561.0,5.200726052749136,0.46376212815189044,13.888620880420731
ILE-DE-FRANCE,2005,AE,161,316,56676,389771.8059621608,10288237.40309478,54006624.45858239,5.249356361307991,0.8921160545356465,16.447208401936038
NORMANDIE,2005,AE,57,122,25153,108263.0,2843139.0,14415603.0,5.070312425808235,0.8700340407509775,13.225256222741685
NOUVELLE AQUITAINE,2005,AE,145,251,48866,195205.0,4773190.0,23154186.0,4.850882952490892,0.856205069185181,13.441936174550209
OCCITANIE,2005,AE,124,200,33305,148524.0,3999225.0,18550729.0,4.638580975063919,0.7530127287578192,17.33298620191624
PAYS DE LA LOIRE,2005,AE,66,112,21516,83387.0,2385805.0,12190074.0,5.109417576038276,0.6914717408108039,16.329877062114935
PROVENCE-ALPES-COTE D'AZUR,2005,AE,75,149,21583,161217.0,3915473.0,20042793.0,5.118868908047635,0.813143167348946,17.28102521520001
AUVERGNE-RHONE-ALPES,2006,AE,154,292,48877,258629.0,7410248.0,38454617.0,5.189383270303504,0.940661599365703,17.965139099101457
BOURGOGNE-FRANCHE-COMTE,2006,AE,51,128,21951,125950.0,2998819.0,16483344.0,5.496611832858202,1.062876916102795,13.862198655216234
BRETAGNE,2006,AE,83,136,26675,93927.0,3295741.0,16669597.0,5.057920813559075,1.0005741002170712,19.158947937629467
CENTRE-VAL DE LOIRE,2006,AE,32,67,11247,67903.0,1703930.0,8445003.0,4.956191275463194,0.660798606371229,14.99324924097957
CORSE,2006,AE,4,9,1679,5785.0,157761.0,969727.0,6.146810681980972,0.4820323695395117,15.39121196245489
GRAND EST,2006,AE,57,166,29279,176450.0,4112407.0,22506836.0,5.4729106336021704,0.7398312948608762,13.378759573389939
HAUTS-DE-FRANCE,2006,AE,47,132,23231,145792.0,3475550.0,18468869.0,5.3139413905712765,0.578296818489791,14.332706340577648
ILE-DE-FRANCE,2006,AE,161,325,57758,410007.7919428678,11077985.435092987,58912984.46749557,5.318023282542893,0.9168890418035894,17.086857595034104
NORMANDIE,2006,AE,57,126,25951,117289.0,3428967.0,17771145.0,5.1826526764474545,1.026904005862603,14.654794217399319
NOUVELLE AQUITAINE,2006,AE,151,252,48487,197513.0,5349966.0,26323670.0,4.920343419004906,0.9050126516497894,15.193053248894634
OCCITANIE,2006,AE,122,209,33905,169413.0,4705827.0,22508758.0,4.783167337005802,0.8149768322282712,18.137042922778218
PAYS DE LA LOIRE,2006,AE,62,123,22868,110028.0,3598293.0,19578912.0,5.4411666865371995,0.9676701325691567,18.80419647478768
PROVENCE-ALPES-COTE D'AZUR,2006,AE,77,153,22164,171137.0,4435439.0,22939791.0,5.171932473876881,0.8856747944329616,18.352799236566014
AUVERGNE-RHONE-ALPES,2007,AE,157,296,48562,255493.0,6821798.0,35744562.0,5.239756732755793,0.8659633816884069,16.855481487305312
BOURGOGNE-FRANCHE-COMTE,2007,AE,50,138,24281,146080.0,3241585.0,17624978.0,5.437148185224204,1.1489209145617256,12.34055772223985
BRETAGNE,2007,AE,85,141,27648,103406.0,3257094.0,16735479.0,5.138162730335692,0.9888410219044583,17.101690057116524
